nom;coord_x;coord_y;projection;date;effectif;photo;nom_corrige;fiabilite;source
Cottus sp.;687102,4;6442826,1;L93;2007;1;absence;Cottus sp.;1;FD15
Barbatula sp.;692754,2;6446000,2;L93;2011;1;absence;Barbatula sp.;1;FD15
Barbatula sp.;691853,8;6445207,2;L93;2011;1;absence;Barbatula sp.;1;FD15
Cottus sp.;691853,8;6445207,2;L93;2011;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;695093;6457753;L93;2011;1;absence;Phoxinus sp.;1;FD15
Barbatula sp.;695093;6457753;L93;2011;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;695959,1;6454574,1;L93;2011;1;absence;Phoxinus sp.;1;FD15
Barbatula sp.;695959,1;6454574,1;L93;2011;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;712381,5;6460322,7;L93;2011;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;712381,5;6460322,7;L93;2011;1;absence;Gobio sp.;1;FD15
Barbatula sp.;712381,5;6460322,7;L93;2011;1;absence;Barbatula sp.;1;FD15
Cottus sp.;712381,5;6460322,7;L93;2011;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;712532,6;6456588,1;L93;2010;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;712532,6;6456588,1;L93;2010;1;absence;Gobio sp.;1;FD15
Barbatula sp.;712532,6;6456588,1;L93;2010;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;716157,9;6460218,1;L93;2010;1;absence;Phoxinus sp.;1;FD15
Phoxinus sp.;715500,9;6461353,4;L93;2010;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;715500,9;6461353,4;L93;2010;1;absence;Gobio sp.;1;FD15
Barbatula sp.;715500,9;6461353,4;L93;2010;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;712523,7;6456528,4;L93;2009;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;712523,7;6456528,4;L93;2009;1;absence;Gobio sp.;1;FD15
Barbatula sp.;712523,7;6456528,4;L93;2009;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;712085,8;6447688,3;L93;2009;1;absence;Phoxinus sp.;1;FD15
Barbatula sp.;712085,8;6447688,3;L93;2009;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;691577,4;6461749,6;L93;2009;1;absence;Phoxinus sp.;1;FD15
Barbatula sp.;691577,4;6461749,6;L93;2009;1;absence;Barbatula sp.;1;FD15
Cottus sp.;691577,4;6461749,6;L93;2009;1;absence;Cottus sp.;1;FD15
Barbatula sp.;693594,1;6461458,8;L93;2009;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;713263,9;6459045,1;L93;2008;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;713263,9;6459045,1;L93;2008;1;absence;Gobio sp.;1;FD15
Barbatula sp.;713263,9;6459045,1;L93;2008;1;absence;Barbatula sp.;1;FD15
Barbatula sp.;709553;6453003,8;L93;2008;1;absence;Barbatula sp.;1;FD15
Cottus sp.;694816,4;6456321;L93;2008;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;694903,8;6456989,4;L93;2007;1;absence;Phoxinus sp.;1;FD15
Barbatula sp.;694903,8;6456989,4;L93;2007;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;709558,9;6453060,5;L93;2007;1;absence;Phoxinus sp.;1;FD15
Barbatula sp.;709558,9;6453060,5;L93;2007;1;absence;Barbatula sp.;1;FD15
Cottus sp.;686920,7;6469245,9;L93;2006;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;685043,8;6451382,8;L93;2006;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;685043,8;6451382,8;L93;2006;1;absence;Gobio sp.;1;FD15
Barbatula sp.;685043,8;6451382,8;L93;2006;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;674464,2;6473145;L93;2006;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;674464,2;6473145;L93;2006;1;absence;Gobio sp.;1;FD15
Barbatula sp.;674464,2;6473145;L93;2006;1;absence;Barbatula sp.;1;FD15
Cottus sp.;674464,2;6473145;L93;2006;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;678531,4;6472350,7;L93;2006;1;absence;Phoxinus sp.;1;FD15
Barbatula sp.;678531,4;6472350,7;L93;2006;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;673117,2;6482010,1;L93;2007;1;absence;Phoxinus sp.;1;FD15
Phoxinus sp.;668965,1;6481976,8;L93;2007;1;absence;Phoxinus sp.;1;FD15
Cottus sp.;668965,1;6481976,8;L93;2007;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;669005,9;6481996,8;L93;2008;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;669005,9;6481996,8;L93;2008;1;absence;Gobio sp.;1;FD15
Cottus sp.;669005,9;6481996,8;L93;2008;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;673124,6;6481992,5;L93;2008;1;absence;Phoxinus sp.;1;FD15
Phoxinus sp.;673131,1;6481976;L93;2010;1;absence;Phoxinus sp.;1;FD15
Phoxinus sp.;669030,3;6482012,9;L93;2010;1;absence;Phoxinus sp.;1;FD15
Cottus sp.;669030,3;6482012,9;L93;2010;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;665146;6477170,7;L93;2011;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;665146;6477170,7;L93;2011;1;absence;Gobio sp.;1;FD15
Barbatula sp.;665146;6477170,7;L93;2011;1;absence;Barbatula sp.;1;FD15
Cottus sp.;665146;6477170,7;L93;2011;1;absence;Cottus sp.;1;FD15
Phoxinus sp.;673588,1;6464565,7;L93;2006;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;673588,1;6464565,7;L93;2006;1;absence;Gobio sp.;1;FD15
Barbatula sp.;673588,1;6464565,7;L93;2006;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;671418,7;6459605,3;L93;2008;1;absence;Phoxinus sp.;1;FD15
Phoxinus sp.;653637,7;6466835,3;L93;2011;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;653637,7;6466835,3;L93;2011;1;absence;Gobio sp.;1;FD15
Barbatula sp.;653637,7;6466835,3;L93;2011;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;657933,3;6471996,7;L93;2011;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;657933,3;6471996,7;L93;2011;1;absence;Gobio sp.;1;FD15
Barbatula sp.;657933,3;6471996,7;L93;2011;1;absence;Barbatula sp.;1;FD15
Phoxinus sp.;648441,6;6459667,3;L93;2011;1;absence;Phoxinus sp.;1;FD15
Gobio sp.;648441,6;6459667,3;L93;2011;1;absence;Gobio sp.;1;FD15
Barbatula sp.;648441,6;6459667,3;L93;2011;1;absence;Barbatula sp.;1;FD15
